Component Name,Area,RT
O2-Z-08-C24,272032.5,21.35
O2-Z-08-C25,123411.22,20.93
O2-Z-08-C26,40508.58,21.34
O2-Z-08-C27,3980.32,24.38
O2-Z-08-C28,N/A,N/A
O2-Z-08-C29,N/A,N/A
O2-Z-08-C30,N/A,N/A
O2-Z-08-C31,N/A,N/A
O2-Z-08-C32,N/A,N/A
O2-Z-08-C33,N/A,N/A
O2-Z-08-C34,N/A,N/A
O2-Z-08-C35,N/A,N/A
O2-Z-08-C36,N/A,N/A
O2-Z-08-C37,N/A,N/A
O2-Z-08-C38,N/A,N/A
O2-Z-08-C39,N/A,N/A
O2-Z-08-C40,N/A,N/A
O2-Z-10-C06,N/A,N/A
O2-Z-10-C07,N/A,N/A
O2-Z-10-C08,N/A,N/A
O2-Z-10-C09,N/A,N/A
O2-Z-10-C10,N/A,N/A
O2-Z-10-C11,12788,10.16
O2-Z-10-C12,66161.56,10.01
O2-Z-10-C13,215143.01,10.94
O2-Z-10-C14,495996.04,11.9
O2-Z-10-C15,929981.97,12.7
O2-Z-10-C16,1428343.2,13.54
O2-Z-10-C17,1999137.78,14.33
O2-Z-10-C18,2300438.7,14.93
O2-Z-10-C19,1902252.66,15.72
O2-Z-10-C20,1694131.21,16.49
O2-Z-10-C21,1074805.89,17.23
O2-Z-10-C22,701362.76,17.85
O2-Z-10-C23,363274.89,18.71
O2-Z-10-C24,203158.7,19.47
O2-Z-10-C25,139760.61,20.27
O2-Z-10-C26,42341.63,20.95
O2-Z-10-C27,10364.51,21.22
O2-Z-10-C28,N/A,N/A
O2-Z-10-C29,N/A,N/A
O2-Z-10-C30,N/A,N/A
O2-Z-10-C31,N/A,N/A
O2-Z-10-C32,N/A,N/A
O2-Z-10-C33,N/A,N/A
O2-Z-10-C34,N/A,N/A
O2-Z-10-C35,N/A,N/A
O2-Z-10-C36,N/A,N/A
O2-Z-10-C37,N/A,N/A
O2-Z-10-C38,N/A,N/A
O2-Z-10-C39,N/A,N/A
O2-Z-10-C40,N/A,N/A
O2-Z-12-C06,N/A,N/A
O2-Z-12-C07,N/A,N/A
O2-Z-12-C08,N/A,N/A
O2-Z-12-C09,N/A,N/A
O2-Z-12-C10,N/A,N/A
O2-Z-12-C11,N/A,N/A
O2-Z-12-C12,N/A,N/A
O2-Z-12-C13,N/A,N/A
O2-Z-12-C14,50632,11.23
O2-Z-12-C15,275131.05,12.12
O2-Z-12-C16,821731.79,12.74
O2-Z-12-C17,1527265.95,13.57
O2-Z-12-C18,1971149.21,14.37
O2-Z-12-C19,1689537.32,15.26
O2-Z-12-C20,1298286.84,15.69
O2-Z-12-C21,781353.77,16.5
O2-Z-12-C22,503249.34,17.27
O2-Z-12-C23,258154.54,17.97
O2-Z-12-C24,119296.69,18.92
O2-Z-12-C25,65819.25,19.09
O2-Z-12-C26,23690.66,20.12
O2-Z-12-C27,10168.01,21.19
O2-Z-12-C28,N/A,N/A
O2-Z-12-C29,N/A,N/A
O2-Z-12-C30,N/A,N/A
O2-Z-12-C31,N/A,N/A
O2-Z-12-C32,N/A,N/A
O2-Z-12-C33,N/A,N/A
O2-Z-12-C34,N/A,N/A
O2-Z-12-C35,N/A,N/A
O2-Z-12-C36,N/A,N/A
O2-Z-12-C37,N/A,N/A
O2-Z-12-C38,N/A,N/A
O2-Z-12-C39,N/A,N/A
O2-Z-12-C40,N/A,N/A
O2-Z-14-C07,N/A,N/A
O2-Z-14-C08,N/A,N/A
O2-Z-14-C09,N/A,N/A
O2-Z-14-C10,N/A,N/A
O2-Z-14-C11,N/A,N/A
O2-Z-14-C12,N/A,N/A
O2-Z-14-C13,N/A,N/A
O2-Z-14-C14,18198.81,10.7
O2-Z-14-C15,58852.46,11.49
O2-Z-14-C16,121075.9,12.33
O2-Z-14-C17,233363.64,13.16
O2-Z-14-C18,394207.81,13.94
O2-Z-14-C19,468969.42,14.58
O2-Z-14-C20,N/A,N/A
O2-Z-14-C21,284040.64,15.93
O2-Z-14-C22,174280.43,16.72
O2-Z-14-C23,94755.95,17.24
O2-Z-14-C24,42061.37,18.2
O2-Z-14-C25,16033.57,18.66
O2-Z-14-C26,N/A,N/A
O2-Z-14-C27,N/A,N/A
O2-Z-14-C28,N/A,N/A
O2-Z-14-C29,N/A,N/A
O2-Z-14-C30,N/A,N/A
O2-Z-14-C31,N/A,N/A
O2-Z-14-C32,N/A,N/A
O2-Z-14-C33,N/A,N/A
O2-Z-14-C34,N/A,N/A
O2-Z-14-C35,N/A,N/A
O2-Z-14-C36,N/A,N/A
O2-Z-14-C37,N/A,N/A
O2-Z-14-C38,N/A,N/A
O2-Z-14-C39,N/A,N/A
O2-Z-14-C40,N/A,N/A
O2-Z-16-C08,N/A,N/A
O2-Z-16-C09,N/A,N/A
O2-Z-16-C10,N/A,N/A
O2-Z-16-C11,N/A,N/A
O2-Z-16-C12,N/A,N/A
O2-Z-16-C13,N/A,N/A
O2-Z-16-C14,N/A,N/A
O2-Z-16-C15,N/A,N/A
O2-Z-16-C16,29336.47,11.74
O2-Z-16-C17,82741.9,12.42
O2-Z-16-C18,133375.03,13.33
O2-Z-16-C19,131497.6,13.95
O2-Z-16-C20,109529.16,14.77
O2-Z-16-C21,74749.03,15.36
O2-Z-16-C22,46338.85,16.2
O2-Z-16-C23,17824.58,16.79
O2-Z-16-C24,6473.87,17.34
O2-Z-16-C25,N/A,N/A
O2-Z-16-C26,N/A,N/A
O2-Z-16-C27,N/A,N/A
O2-Z-16-C28,N/A,N/A
O2-Z-16-C29,N/A,N/A
O2-Z-16-C30,N/A,N/A
O2-Z-16-C31,N/A,N/A
O2-Z-16-C32,N/A,N/A
O2-Z-16-C33,N/A,N/A
O2-Z-16-C34,N/A,N/A
O2-Z-16-C35,N/A,N/A
O2-Z-16-C36,N/A,N/A
O2-Z-16-C37,N/A,N/A
O2-Z-16-C38,N/A,N/A
O2-Z-16-C39,N/A,N/A
O2-Z-16-C40,N/A,N/A
O2-Z-18-C09,N/A,N/A
O2-Z-18-C10,N/A,N/A
O2-Z-18-C11,N/A,N/A
O2-Z-18-C12,N/A,N/A
O2-Z-18-C13,N/A,N/A
O2-Z-18-C14,N/A,N/A
O2-Z-18-C15,N/A,N/A
O2-Z-18-C16,N/A,N/A
O2-Z-18-C17,N/A,N/A
O2-Z-18-C18,32266.94,12.68
O2-Z-18-C19,58114.4,13.33
O2-Z-18-C20,51894.52,13.98
O2-Z-18-C21,43297.79,14.58
O2-Z-18-C22,22762.94,15.33
O2-Z-18-C23,7328.01,16.11
O2-Z-18-C24,N/A,N/A
O2-Z-18-C25,N/A,N/A
