Component Name,Area,RT
IS_D27_C14:0,9114964.44,15.98
O2-Z-00-C06,346381.69,7.77
O2-Z-00-C07,521633.75,8.77
O2-Z-00-C08,1410731.19,10.37
O2-Z-00-C09,33239576.62,11.02
O2-Z-00-C10,5714100.45,12.65
O2-Z-00-C11,5483486.89,13.57
O2-Z-00-C12,N/A,N/A
O2-Z-00-C13,18890146.64,15.07
O2-Z-00-C14,5431860.63,16.08
O2-Z-00-C15,3910788.95,16.53
O2-Z-00-C16,6657837.12,17.74
O2-Z-00-C17,2723438.3,18.62
O2-Z-00-C18,4785520.71,19.57
O2-Z-00-C19,2547544.76,20.01
O2-Z-00-C20,3626616.5,20.71
O2-Z-00-C21,1737004.96,21.66
O2-Z-00-C22,1289914.2,22.94
O2-Z-00-C23,700574.54,23.8
O2-Z-00-C24,669663.67,25.8
O2-Z-00-C25,312850.69,25.48
O2-Z-00-C26,282351.1,27.02
O2-Z-00-C27,59700.05,26.64
O2-Z-00-C28,137462.61,27.99
O2-Z-00-C29,N/A,N/A
O2-Z-00-C30,148836.98,28.77
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,10869.37,7.82
O2-Z-02-C08,261247.76,9.07
O2-Z-02-C09,2474995.61,10.07
O2-Z-02-C10,6627502.27,11.25
O2-Z-02-C11,10427060,12.41
O2-Z-02-C12,10959841.53,13.39
O2-Z-02-C13,11516984.29,14.33
O2-Z-02-C14,11085033.43,15.07
O2-Z-02-C15,9577110.05,15.9
O2-Z-02-C16,9289255.63,16.69
O2-Z-02-C17,7946453.01,17.61
O2-Z-02-C18,8274799.25,18.27
O2-Z-02-C19,6780780.85,19.21
O2-Z-02-C20,6399818.93,20.07
O2-Z-02-C21,5217960.65,21.08
O2-Z-02-C22,3528965.89,21.61
O2-Z-02-C23,2086159.76,23.09
O2-Z-02-C24,1201590.39,23.86
O2-Z-02-C25,509915.58,24.86
O2-Z-02-C26,233912,25.39
O2-Z-02-C27,84338.44,26.01
O2-Z-02-C28,30814.29,26.66
O2-Z-02-C29,5764.97,27.22
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
