Component Name,Area,RT
IS_D27_C14:0,8184240.9,15.61
O2-Z-00-C06,232900.7,7.88
O2-Z-00-C07,403866.12,8.83
O2-Z-00-C08,1069286.11,10.25
O2-Z-00-C09,30388394.41,10.96
O2-Z-00-C10,5165918.42,12.52
O2-Z-00-C11,4918922.02,13.38
O2-Z-00-C12,5484909.86,14.18
O2-Z-00-C13,16946514.91,14.95
O2-Z-00-C14,4865131.79,15.69
O2-Z-00-C15,3501794.69,16.14
O2-Z-00-C16,5704515.23,17.32
O2-Z-00-C17,2442589.35,18.23
O2-Z-00-C18,3967231.53,19.2
O2-Z-00-C19,2274594.55,19.72
O2-Z-00-C20,3221954.15,20.4
O2-Z-00-C21,1632469.51,21.49
O2-Z-00-C22,1133245.4,22.73
O2-Z-00-C23,650070.66,23.73
O2-Z-00-C24,615380.52,25.75
O2-Z-00-C25,312792.71,25.45
O2-Z-00-C26,209279.11,27.01
O2-Z-00-C27,57119.83,26.65
O2-Z-00-C28,41020.32,28.04
O2-Z-00-C29,5507.91,28.41
O2-Z-00-C30,32516.16,28.43
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,8457.55,7.89
O2-Z-02-C08,227825.38,9.05
O2-Z-02-C09,2205455.17,10.01
O2-Z-02-C10,5999867.21,11.29
O2-Z-02-C11,9587682.04,12.36
O2-Z-02-C12,9860077.67,13.21
O2-Z-02-C13,10317725.07,14.04
O2-Z-02-C14,9929345.78,14.78
O2-Z-02-C15,8521117.6,15.55
O2-Z-02-C16,8017463.26,16.32
O2-Z-02-C17,6858623,17.26
O2-Z-02-C18,7277540.98,17.9
O2-Z-02-C19,5972746.03,18.89
O2-Z-02-C20,5721296.25,19.8
O2-Z-02-C21,4732205.43,20.87
O2-Z-02-C22,3339115.73,21.51
O2-Z-02-C23,1918361.07,22.9
O2-Z-02-C24,1129521.77,23.76
O2-Z-02-C25,472179.84,24.73
O2-Z-02-C26,226852.2,25.24
O2-Z-02-C27,78459.25,26.19
O2-Z-02-C28,29046.06,26.69
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,87463.02,9.28
O2-Z-04-C10,768192.98,10.46
O2-Z-04-C11,3163890.37,11.38
O2-Z-04-C12,7330153.53,12.47
O2-Z-04-C13,11795793.02,13.32
O2-Z-04-C14,16040047.72,14.18
O2-Z-04-C15,18784041.69,14.69
O2-Z-04-C16,19450520.45,15.55
O2-Z-04-C17,15769838.29,16.31
O2-Z-04-C18,13650494.1,17.31
O2-Z-04-C19,10913827.76,18.08
O2-Z-04-C20,9205709.51,18.82
O2-Z-04-C21,6635407.81,19.8
O2-Z-04-C22,4347032.07,20.99
O2-Z-04-C23,2377720.66,21.63
O2-Z-04-C24,1225058.29,22.79
