Component Name,Area,RT
IS_D27_C14:0,8144978.37,15.74
O2-Z-00-C06,261747.41,8.12
O2-Z-00-C07,422519.73,9.09
O2-Z-00-C08,1148127.19,10.39
O2-Z-00-C09,29642977.07,11.13
O2-Z-00-C10,5051336.65,12.62
O2-Z-00-C11,4889453.47,13.53
O2-Z-00-C12,5485873.68,14.3
O2-Z-00-C13,16856248.19,15.09
O2-Z-00-C14,4916022.48,15.81
O2-Z-00-C15,3523973.63,16.25
O2-Z-00-C16,5798766.4,17.35
O2-Z-00-C17,2401231.04,18.2
O2-Z-00-C18,3880405.58,19.17
O2-Z-00-C19,2277240.74,19.65
O2-Z-00-C20,3159591.09,20.34
O2-Z-00-C21,1618435.34,21.4
O2-Z-00-C22,1125032.32,22.73
O2-Z-00-C23,667946.36,23.74
O2-Z-00-C24,603339.94,25.83
O2-Z-00-C25,309431.5,25.48
O2-Z-00-C26,208365.23,29.65
O2-Z-00-C27,59544.11,26.77
O2-Z-00-C28,41104.68,28.13
O2-Z-00-C29,N/A,N/A
O2-Z-00-C30,33328.46,28.55
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,10815.48,8.16
O2-Z-02-C08,239240.53,9.25
O2-Z-02-C09,2304298.48,10.16
O2-Z-02-C10,5890593.81,11.34
O2-Z-02-C11,9571739.5,12.37
O2-Z-02-C12,9857273.43,13.36
O2-Z-02-C13,10248700.39,14.18
O2-Z-02-C14,9904399.9,14.92
O2-Z-02-C15,8500694.69,15.66
O2-Z-02-C16,8160629.26,16.4
O2-Z-02-C17,6956832.82,17.13
O2-Z-02-C18,7222230.9,17.88
O2-Z-02-C19,5943845.47,18.89
O2-Z-02-C20,5687682.33,19.74
O2-Z-02-C21,4599844.46,20.69
O2-Z-02-C22,3303065.51,21.46
O2-Z-02-C23,1901810.42,22.85
O2-Z-02-C24,1149216.31,23.74
O2-Z-02-C25,483923.53,24.82
O2-Z-02-C26,220272.45,25.41
O2-Z-02-C27,81373.1,26.13
O2-Z-02-C28,28470.67,26.68
O2-Z-02-C29,6062.36,27.34
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,88325.15,9.51
O2-Z-04-C10,826790.59,10.63
O2-Z-04-C11,3120240.8,11.55
O2-Z-04-C12,7258298.96,12.61
O2-Z-04-C13,11717420.8,13.5
O2-Z-04-C14,15922693.72,14.3
O2-Z-04-C15,18664025.05,15.03
O2-Z-04-C16,19291693.8,15.64
O2-Z-04-C17,15897813.41,16.43
O2-Z-04-C18,13746611.5,17.28
O2-Z-04-C19,10826221.16,17.96
O2-Z-04-C20,N/A,N/A
O2-Z-04-C21,N/A,N/A
O2-Z-04-C22,N/A,N/A
O2-Z-04-C23,N/A,N/A
O2-Z-04-C24,N/A,N/A
O2-Z-04-C25,N/A,N/A
O2-Z-04-C26,N/A,N/A
O2-Z-04-C27,N/A,N/A
O2-Z-04-C28,N/A,N/A
O2-Z-04-C29,N/A,N/A
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
O2-Z-04-C34,N/A,N/A
O2-Z-04-C35,N/A,N/A
O2-Z-04-C36,N/A,N/A
O2-Z-04-C37,N/A,N/A
O2-Z-04-C38,N/A,N/A
O2-Z-04-C39,N/A,N/A
O2-Z-04-C40,N/A,N/A
O2-Z-06-C06,N/A,N/A
O2-Z-06-C07,N/A,N/A
O2-Z-06-C08,N/A,N/A
O2-Z-06-C09,N/A,N/A
O2-Z-06-C10,N/A,N/A
O2-Z-06-C11,63441.24,10.87
O2-Z-06-C12,499908.12,11.88
O2-Z-06-C13,2273161.13,12.83
O2-Z-06-C14,5516804.94,13.53
O2-Z-06-C15,9949694.69,14.33
O2-Z-06-C16,12314125.67,15.01
O2-Z-06-C17,11334673.35,15.77
O2-Z-06-C18,8846901.6,16.55
O2-Z-06-C19,6592721.34,17.29
O2-Z-06-C20,5326923.02,18.14
O2-Z-06-C21,3315532.58,19.08
O2-Z-06-C22,1411265.89,19.94
O2-Z-06-C23,1116280.45,20.86
O2-Z-06-C24,566346.65,21.75
O2-Z-06-C25,256767.83,22.76
O2-Z-06-C26,82727.05,23.74
O2-Z-06-C27,18245.89,24.61
O2-Z-06-C28,N/A,N/A
O2-Z-06-C29,N/A,N/A
O2-Z-06-C30,N/A,N/A
O2-Z-06-C31,N/A,N/A
O2-Z-06-C32,N/A,N/A
O2-Z-06-C33,N/A,N/A
O2-Z-06-C34,N/A,N/A
O2-Z-06-C35,N/A,N/A
O2-Z-06-C36,N/A,N/A
O2-Z-06-C37,N/A,N/A
O2-Z-06-C38,N/A,N/A
O2-Z-06-C39,N/A,N/A
O2-Z-06-C40,N/A,N/A
O2-Z-08-C06,N/A,N/A
O2-Z-08-C07,N/A,N/A
O2-Z-08-C08,7790.22,7.6
O2-Z-08-C09,22434.16,8.51
O2-Z-08-C10,55201.64,9.28
O2-Z-08-C11,141135.5,9.72
O2-Z-08-C12,302439.38,10.4
O2-Z-08-C13,483388.56,11.38
O2-Z-08-C14,842294.26,12.95
O2-Z-08-C15,1992686.51,13.77
O2-Z-08-C16,3303787.73,14.41
O2-Z-08-C17,3400106.72,15.06
O2-Z-08-C18,3047591.62,15.89
O2-Z-08-C19,2337245.85,16.61
O2-Z-08-C20,2014438.27,17.38
O2-Z-08-C21,1208363.1,18.24
O2-Z-08-C22,752517.71,18.98
O2-Z-08-C23,432665.32,20.07
O2-Z-08-C24,232794.98,20.95
O2-Z-08-C25,121146,21.72
O2-Z-08-C26,33111.59,21.06
O2-Z-08-C27,N/A,N/A
O2-Z-08-C28,N/A,N/A
O2-Z-08-C29,N/A,N/A
O2-Z-08-C30,N/A,N/A
O2-Z-08-C31,N/A,N/A
O2-Z-08-C32,N/A,N/A
O2-Z-08-C33,N/A,N/A
O2-Z-08-C34,N/A,N/A
O2-Z-08-C35,N/A,N/A
O2-Z-08-C36,N/A,N/A
O2-Z-08-C37,N/A,N/A
O2-Z-08-C38,N/A,N/A
O2-Z-08-C39,N/A,N/A
O2-Z-08-C40,N/A,N/A
O2-Z-10-C06,N/A,N/A
O2-Z-10-C07,N/A,N/A
O2-Z-10-C08,N/A,N/A
O2-Z-10-C09,N/A,N/A
O2-Z-10-C10,N/A,N/A
O2-Z-10-C11,14328,9.66
O2-Z-10-C12,67319.9,9.8
O2-Z-10-C13,216105.77,10.58
O2-Z-10-C14,455204.73,11.62
O2-Z-10-C15,890987.27,12.55
O2-Z-10-C16,1329120.77,13.09
O2-Z-10-C17,1833616.13,13.86
O2-Z-10-C18,2111788.56,14.42
O2-Z-10-C19,1738915.74,15.21
O2-Z-10-C20,1535642.94,15.74
O2-Z-10-C21,971794.1,16.54
O2-Z-10-C22,616130.15,17.14
O2-Z-10-C23,322825.07,17.76
O2-Z-10-C24,173135.98,18.61
O2-Z-10-C25,118138.65,19.5
O2-Z-10-C26,30666.53,20.15
O2-Z-10-C27,N/A,N/A
O2-Z-10-C28,N/A,N/A
O2-Z-10-C29,N/A,N/A
O2-Z-10-C30,N/A,N/A
O2-Z-10-C31,N/A,N/A
O2-Z-10-C32,N/A,N/A
O2-Z-10-C33,N/A,N/A
O2-Z-10-C34,N/A,N/A
O2-Z-10-C35,N/A,N/A
O2-Z-10-C36,N/A,N/A
O2-Z-10-C37,N/A,N/A
O2-Z-10-C38,N/A,N/A
O2-Z-10-C39,N/A,N/A
O2-Z-10-C40,N/A,N/A
O2-Z-12-C06,N/A,N/A
O2-Z-12-C07,N/A,N/A
O2-Z-12-C08,N/A,N/A
O2-Z-12-C09,N/A,N/A
O2-Z-12-C10,N/A,N/A
O2-Z-12-C11,N/A,N/A
O2-Z-12-C12,N/A,N/A
O2-Z-12-C13,N/A,N/A
O2-Z-12-C14,46590.38,10.93
O2-Z-12-C15,250420.18,11.82
O2-Z-12-C16,N/A,N/A
O2-Z-12-C17,N/A,N/A
O2-Z-12-C18,N/A,N/A
O2-Z-12-C19,N/A,N/A
O2-Z-12-C20,N/A,N/A
O2-Z-12-C21,N/A,N/A
O2-Z-12-C22,N/A,N/A
O2-Z-12-C23,N/A,N/A
O2-Z-12-C24,N/A,N/A
O2-Z-12-C25,N/A,N/A
O2-Z-12-C26,N/A,N/A
O2-Z-12-C27,N/A,N/A
O2-Z-12-C28,N/A,N/A
O2-Z-12-C29,N/A,N/A
O2-Z-12-C30,N/A,N/A
O2-Z-12-C31,N/A,N/A
O2-Z-12-C32,N/A,N/A
O2-Z-12-C33,N/A,N/A
O2-Z-12-C34,N/A,N/A
O2-Z-12-C35,N/A,N/A
O2-Z-12-C36,N/A,N/A
O2-Z-12-C37,N/A,N/A
O2-Z-12-C38,N/A,N/A
O2-Z-12-C39,N/A,N/A
O2-Z-12-C40,N/A,N/A
O2-Z-14-C07,N/A,N/A
O2-Z-14-C08,N/A,N/A
O2-Z-14-C09,N/A,N/A
O2-Z-14-C10,N/A,N/A
O2-Z-14-C11,N/A,N/A
O2-Z-14-C12,N/A,N/A
O2-Z-14-C13,N/A,N/A
O2-Z-14-C14,N/A,N/A
O2-Z-14-C15,N/A,N/A
O2-Z-14-C16,111347.97,11.99
O2-Z-14-C17,221347.71,12.77
O2-Z-14-C18,378849.89,13.5
O2-Z-14-C19,430534.02,14.27
O2-Z-14-C20,354304.02,14.69
O2-Z-14-C21,257510.47,15.46
O2-Z-14-C22,161710.13,16.1
O2-Z-14-C23,82910.52,16.7
O2-Z-14-C24,37664.75,17.11
O2-Z-14-C25,17986.72,17.75
O2-Z-14-C26,N/A,N/A
O2-Z-14-C27,N/A,N/A
O2-Z-14-C28,N/A,N/A
O2-Z-14-C29,N/A,N/A
O2-Z-14-C30,N/A,N/A
O2-Z-14-C31,N/A,N/A
O2-Z-14-C32,N/A,N/A
O2-Z-14-C33,N/A,N/A
O2-Z-14-C34,N/A,N/A
O2-Z-14-C35,N/A,N/A
O2-Z-14-C36,N/A,N/A
O2-Z-14-C37,N/A,N/A
O2-Z-14-C38,N/A,N/A
O2-Z-14-C39,N/A,N/A
O2-Z-14-C40,N/A,N/A
O2-Z-16-C08,N/A,N/A
O2-Z-16-C09,N/A,N/A
O2-Z-16-C10,N/A,N/A
O2-Z-16-C11,N/A,N/A
O2-Z-16-C12,N/A,N/A
O2-Z-16-C13,N/A,N/A
O2-Z-16-C14,N/A,N/A
O2-Z-16-C15,N/A,N/A
O2-Z-16-C16,25710.36,11.44
O2-Z-16-C17,81205.47,12.12
O2-Z-16-C18,N/A,N/A
O2-Z-16-C19,N/A,N/A
O2-Z-16-C20,N/A,N/A
O2-Z-16-C21,N/A,N/A
O2-Z-16-C22,N/A,N/A
O2-Z-16-C23,N/A,N/A
O2-Z-16-C24,N/A,N/A
O2-Z-16-C25,N/A,N/A
O2-Z-16-C26,N/A,N/A
O2-Z-16-C27,N/A,N/A
O2-Z-16-C28,N/A,N/A
O2-Z-16-C29,N/A,N/A
O2-Z-16-C30,N/A,N/A
O2-Z-16-C31,N/A,N/A
O2-Z-16-C32,N/A,N/A
O2-Z-16-C33,N/A,N/A
O2-Z-16-C34,N/A,N/A
O2-Z-16-C35,N/A,N/A
O2-Z-16-C36,N/A,N/A
O2-Z-16-C37,N/A,N/A
O2-Z-16-C38,N/A,N/A
O2-Z-16-C39,N/A,N/A
O2-Z-16-C40,N/A,N/A
O2-Z-18-C09,N/A,N/A
O2-Z-18-C10,N/A,N/A
O2-Z-18-C11,N/A,N/A
O2-Z-18-C12,N/A,N/A
O2-Z-18-C13,N/A,N/A
O2-Z-18-C14,N/A,N/A
O2-Z-18-C15,N/A,N/A
O2-Z-18-C16,N/A,N/A
O2-Z-18-C17,N/A,N/A
O2-Z-18-C18,N/A,N/A
O2-Z-18-C19,N/A,N/A
O2-Z-18-C20,N/A,N/A
O2-Z-18-C21,N/A,N/A
O2-Z-18-C22,20216.41,14.68
O2-Z-18-C23,N/A,N/A
O2-Z-18-C24,N/A,N/A
O2-Z-18-C25,N/A,N/A
O2-Z-18-C26,N/A,N/A
O2-Z-18-C27,N/A,N/A
O2-Z-18-C28,N/A,N/A
O2-Z-18-C29,N/A,N/A
O2-Z-18-C30,N/A,N/A
O2-Z-18-C31,N/A,N/A
O2-Z-18-C32,N/A,N/A
O2-Z-18-C33,N/A,N/A
O2-Z-18-C34,N/A,N/A
O2-Z-18-C35,N/A,N/A
O2-Z-18-C36,N/A,N/A
O2-Z-18-C37,N/A,N/A
O2-Z-18-C38,N/A,N/A
O2-Z-18-C39,N/A,N/A
O2-Z-18-C40,N/A,N/A
O2-Z-20-C10,N/A,N/A
O2-Z-20-C11,N/A,N/A
O2-Z-20-C12,N/A,N/A
O2-Z-20-C13,N/A,N/A
O2-Z-20-C14,N/A,N/A
O2-Z-20-C15,N/A,N/A
O2-Z-20-C16,N/A,N/A
O2-Z-20-C17,N/A,N/A
O2-Z-20-C18,N/A,N/A
O2-Z-20-C19,N/A,N/A
O2-Z-20-C20,N/A,N/A
O2-Z-20-C21,N/A,N/A
O2-Z-20-C22,N/A,N/A
O2-Z-20-C23,N/A,N/A
O2-Z-20-C24,N/A,N/A
O2-Z-20-C25,N/A,N/A
O2-Z-20-C26,N/A,N/A
O2-Z-20-C27,N/A,N/A
O2-Z-20-C28,N/A,N/A
O2-Z-20-C29,N/A,N/A
O2-Z-20-C30,N/A,N/A
O2-Z-20-C31,N/A,N/A
O2-Z-20-C32,N/A,N/A
O2-Z-20-C33,N/A,N/A
O2-Z-20-C34,N/A,N/A
O2-Z-20-C35,N/A,N/A
O2-Z-20-C36,N/A,N/A
O2-Z-20-C37,N/A,N/A
O2-Z-20-C38,N/A,N/A
O2-Z-20-C39,N/A,N/A
O2-Z-20-C40,N/A,N/A
O2-Z-22-C11,N/A,N/A
O2-Z-22-C12,N/A,N/A
O2-Z-22-C13,N/A,N/A
O2-Z-22-C14,N/A,N/A
O2-Z-22-C15,N/A,N/A
O2-Z-22-C16,N/A,N/A
O2-Z-22-C17,N/A,N/A
O2-Z-22-C18,N/A,N/A
O2-Z-22-C19,N/A,N/A
O2-Z-22-C20,N/A,N/A
O2-Z-22-C21,N/A,N/A
O2-Z-22-C22,N/A,N/A
O2-Z-22-C23,N/A,N/A
O2-Z-22-C24,N/A,N/A
O2-Z-22-C25,N/A,N/A
O2-Z-22-C26,N/A,N/A
O2-Z-22-C27,N/A,N/A
O2-Z-22-C28,N/A,N/A
O2-Z-22-C29,N/A,N/A
O2-Z-22-C30,N/A,N/A
O2-Z-22-C31,N/A,N/A
O2-Z-22-C32,N/A,N/A
O2-Z-22-C33,N/A,N/A
O2-Z-22-C34,N/A,N/A
O2-Z-22-C35,N/A,N/A
O2-Z-22-C36,N/A,N/A
O2-Z-22-C37,N/A,N/A
O2-Z-22-C38,N/A,N/A
O2-Z-22-C39,N/A,N/A
O2-Z-22-C40,N/A,N/A
O2-Z-24-C12,N/A,N/A
O2-Z-24-C13,N/A,N/A
O2-Z-24-C14,N/A,N/A
O2-Z-24-C15,N/A,N/A
O2-Z-24-C16,N/A,N/A
O2-Z-24-C17,N/A,N/A
O2-Z-24-C18,N/A,N/A
O2-Z-24-C19,N/A,N/A
O2-Z-24-C20,N/A,N/A
O2-Z-24-C21,N/A,N/A
O2-Z-24-C22,N/A,N/A
O2-Z-24-C23,N/A,N/A
O2-Z-24-C24,N/A,N/A
O2-Z-24-C25,N/A,N/A
O2-Z-24-C26,N/A,N/A
O2-Z-24-C27,N/A,N/A
O2-Z-24-C28,N/A,N/A
O2-Z-24-C29,N/A,N/A
O2-Z-24-C30,N/A,N/A
O2-Z-24-C31,N/A,N/A
O2-Z-24-C32,N/A,N/A
O2-Z-24-C33,N/A,N/A
O2-Z-24-C34,N/A,N/A
O2-Z-24-C35,N/A,N/A
O2-Z-24-C36,N/A,N/A
O2-Z-24-C37,N/A,N/A
O2-Z-24-C38,N/A,N/A
O2-Z-24-C39,N/A,N/A
O2-Z-24-C40,N/A,N/A
Sur-01_D15_C8:0,7498697.11,10.32
Sur-02_2[C13]_C10:0,10061974.74,12.65
Sur-03_D2_C12:0,10190459.22,14.33
Sur-04_D2_C16:0,10090359.77,17.34
Sur-05_2[C13]_C18:0,11668929.2,19.14
Sur-06_D39_C20:0,11000800.64,21.09
TIC,654460745.1,11.14
