Component Name,Area,RT
IS_D27_C14:0,8724450.24,16.34
O2-Z-00-C06,575563,7.86
O2-Z-00-C07,739907.23,8.95
O2-Z-00-C08,1571754.97,10.63
O2-Z-00-C09,32091217.75,11.17
O2-Z-00-C10,5799933.17,12.89
O2-Z-00-C11,5414222.81,13.82
O2-Z-00-C12,6064619.66,14.71
O2-Z-00-C13,18494927.16,15.18
O2-Z-00-C14,5089695.9,16.46
O2-Z-00-C15,3577039.57,16.91
O2-Z-00-C16,6712822.41,18.21
O2-Z-00-C17,2788426.9,19.09
O2-Z-00-C18,5612641.3,20.04
O2-Z-00-C19,2591583.13,20.36
O2-Z-00-C20,3652261.67,21.08
O2-Z-00-C21,1587436.79,22.05
O2-Z-00-C22,1169612.84,23.2
O2-Z-00-C23,620149.68,24.06
O2-Z-00-C24,553832.16,24.86
O2-Z-00-C25,287748.9,25.62
O2-Z-00-C26,198139.67,27.05
O2-Z-00-C27,56759.51,26.77
O2-Z-00-C28,63657.53,28.02
O2-Z-00-C29,N/A,N/A
O2-Z-00-C30,59530.72,28.75
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,N/A,N/A
O2-Z-02-C08,253906.04,9.25
O2-Z-02-C09,2369044.77,10.37
O2-Z-02-C10,6422443.78,11.53
O2-Z-02-C11,10076776.75,12.64
O2-Z-02-C12,10653341.49,13.6
O2-Z-02-C13,11202402.47,14.51
O2-Z-02-C14,10808959.03,15.42
O2-Z-02-C15,9233162.26,16.25
O2-Z-02-C16,8503471.76,17.11
O2-Z-02-C17,7860521.02,17.76
O2-Z-02-C18,7750551.2,18.77
O2-Z-02-C19,7030796.7,19.57
O2-Z-02-C20,6480401.04,20.48
O2-Z-02-C21,5190061.29,21.28
O2-Z-02-C22,3271476.83,22.19
O2-Z-02-C23,1957276.29,23.29
O2-Z-02-C24,1079071.7,24.12
O2-Z-02-C25,485081.61,25
O2-Z-02-C26,218301.5,25.69
O2-Z-02-C27,84274,26.1
O2-Z-02-C28,26860.69,26.86
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
