Component Name,Area,RT
IS_D27_C14:0,8904937.2,16.41
O2-Z-00-C06,504787.69,7.95
O2-Z-00-C07,714593.77,9.37
O2-Z-00-C08,1649752.83,10.67
O2-Z-00-C09,33096041,11.2
O2-Z-00-C10,5747709.5,12.89
O2-Z-00-C11,5575598.83,13.88
O2-Z-00-C12,6125094.89,14.8
O2-Z-00-C13,18471404.41,15.25
O2-Z-00-C14,5547234.99,16.54
O2-Z-00-C15,3844053.22,16.96
O2-Z-00-C16,8422106.43,18.24
O2-Z-00-C17,2918812.13,19.09
O2-Z-00-C18,6617728.49,20.04
O2-Z-00-C19,2597743.21,20.36
O2-Z-00-C20,3749185.72,21.07
O2-Z-00-C21,1616641.46,22.02
O2-Z-00-C22,1237178.66,23.23
O2-Z-00-C23,633505,24.06
O2-Z-00-C24,655805.96,25.92
O2-Z-00-C25,306541.75,25.65
O2-Z-00-C26,293594.8,27.16
O2-Z-00-C27,58410.27,26.83
O2-Z-00-C28,143967.33,28.09
O2-Z-00-C29,N/A,N/A
O2-Z-00-C30,156470.88,28.82
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,N/A,N/A
O2-Z-02-C08,255892.04,9.33
O2-Z-02-C09,2358159.71,10.37
O2-Z-02-C10,6458702.05,11.52
O2-Z-02-C11,10142247.95,12.65
O2-Z-02-C12,10662499.71,13.65
O2-Z-02-C13,11200117.95,14.59
O2-Z-02-C14,10720779.36,15.48
O2-Z-02-C15,9329248.06,16.28
O2-Z-02-C16,8617368.6,17.17
O2-Z-02-C17,7990856.23,17.79
O2-Z-02-C18,7854942.9,18.71
O2-Z-02-C19,7024632.92,19.57
O2-Z-02-C20,6456587.46,20.51
O2-Z-02-C21,5179502.73,21.23
O2-Z-02-C22,3290187.72,21.75
O2-Z-02-C23,1979926.39,23.35
O2-Z-02-C24,1078775.15,24.06
O2-Z-02-C25,487508.11,24.94
O2-Z-02-C26,220365.54,25.74
O2-Z-02-C27,80296.11,26.31
O2-Z-02-C28,28508.95,26.87
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,93362.99,9.58
O2-Z-04-C10,845013.24,10.67
O2-Z-04-C11,3350658.02,11.73
O2-Z-04-C12,7777400.45,12.83
O2-Z-04-C13,12773339.67,13.74
O2-Z-04-C14,17422674.28,14.71
O2-Z-04-C15,20469585.71,15.48
O2-Z-04-C16,21281825.5,16.31
O2-Z-04-C17,17579889.27,17.15
O2-Z-04-C18,15546370.55,17.8
O2-Z-04-C19,12519052.47,19
O2-Z-04-C20,10585067.73,19.57
O2-Z-04-C21,7483070.96,20.51
O2-Z-04-C22,4739874.6,21.23
O2-Z-04-C23,2380602.91,22.11
O2-Z-04-C24,1254093.48,23.23
O2-Z-04-C25,555324.36,23.92
O2-Z-04-C26,182549.32,25.04
O2-Z-04-C27,65144.68,25.65
O2-Z-04-C28,19677.28,26.3
O2-Z-04-C29,3398.5,26.51
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
O2-Z-04-C34,N/A,N/A
O2-Z-04-C35,N/A,N/A
O2-Z-04-C36,N/A,N/A
O2-Z-04-C37,N/A,N/A
O2-Z-04-C38,N/A,N/A
O2-Z-04-C39,N/A,N/A
O2-Z-04-C40,N/A,N/A
O2-Z-06-C06,N/A,N/A
O2-Z-06-C07,N/A,N/A
O2-Z-06-C08,N/A,N/A
O2-Z-06-C09,N/A,N/A
O2-Z-06-C10,N/A,N/A
O2-Z-06-C11,64325.21,11
O2-Z-06-C12,555265.22,12
O2-Z-06-C13,2464912.93,12.95
O2-Z-06-C14,5984111.71,13.91
O2-Z-06-C15,10874758.41,14.84
O2-Z-06-C16,13419637.29,15.48
O2-Z-06-C17,12542049.27,16.46
O2-Z-06-C18,9910162.74,17.29
O2-Z-06-C19,7448760.63,18.24
O2-Z-06-C20,6120567.74,19
O2-Z-06-C21,3831654.92,19.78
O2-Z-06-C22,1632027.13,20.75
O2-Z-06-C23,1243692.87,21.37
O2-Z-06-C24,576244.15,22.1
O2-Z-06-C25,261451.91,23.2
O2-Z-06-C26,77328.19,24.36
O2-Z-06-C27,19913.33,25.21
O2-Z-06-C28,N/A,N/A
O2-Z-06-C29,N/A,N/A
O2-Z-06-C30,N/A,N/A
O2-Z-06-C31,N/A,N/A
O2-Z-06-C32,N/A,N/A
O2-Z-06-C33,N/A,N/A
O2-Z-06-C34,N/A,N/A
O2-Z-06-C35,N/A,N/A
O2-Z-06-C36,N/A,N/A
O2-Z-06-C37,N/A,N/A
O2-Z-06-C38,N/A,N/A
O2-Z-06-C39,N/A,N/A
O2-Z-06-C40,N/A,N/A
O2-Z-08-C06,N/A,N/A
O2-Z-08-C07,131007.66,6.52
O2-Z-08-C08,N/A,N/A
O2-Z-08-C09,23883.72,8.51
O2-Z-08-C10,94055.86,9.52
O2-Z-08-C11,136581.92,9.9
O2-Z-08-C12,316071.46,10.72
O2-Z-08-C13,536627.4,11.62
O2-Z-08-C14,905975.58,13.23
O2-Z-08-C15,2131673.16,13.83
O2-Z-08-C16,3590947.86,14.75
O2-Z-08-C17,3724225.87,15.73
O2-Z-08-C18,3351758.39,16.41
O2-Z-08-C19,2616228.21,17.37
O2-Z-08-C20,2256174.09,17.99
O2-Z-08-C21,1387944.94,19.01
O2-Z-08-C22,854573.09,19.78
O2-Z-08-C23,501191.25,20.49
O2-Z-08-C24,299230.93,21.19
O2-Z-08-C25,126561.1,22.17
O2-Z-08-C26,37495.11,23.23
O2-Z-08-C27,N/A,N/A
O2-Z-08-C28,N/A,N/A
O2-Z-08-C29,N/A,N/A
O2-Z-08-C30,N/A,N/A
O2-Z-08-C31,N/A,N/A
O2-Z-08-C32,N/A,N/A
O2-Z-08-C33,N/A,N/A
O2-Z-08-C34,N/A,N/A
O2-Z-08-C35,N/A,N/A
O2-Z-08-C36,N/A,N/A
O2-Z-08-C37,N/A,N/A
O2-Z-08-C38,N/A,N/A
O2-Z-08-C39,N/A,N/A
O2-Z-08-C40,N/A,N/A
O2-Z-10-C06,N/A,N/A
O2-Z-10-C07,N/A,N/A
O2-Z-10-C08,N/A,N/A
O2-Z-10-C09,N/A,N/A
O2-Z-10-C10,N/A,N/A
O2-Z-10-C11,13306,9.92
O2-Z-10-C12,66882.31,10.01
O2-Z-10-C13,214759.28,10.96
O2-Z-10-C14,498701,11.81
O2-Z-10-C15,938628.92,12.71
O2-Z-10-C16,1433943.02,13.51
O2-Z-10-C17,1992818.42,14.25
O2-Z-10-C18,2316798.81,14.87
O2-Z-10-C19,1914821.28,15.78
O2-Z-10-C20,1683168.18,16.52
O2-Z-10-C21,1086863.03,17.32
O2-Z-10-C22,716097.58,17.82
O2-Z-10-C23,374202.6,18.82
O2-Z-10-C24,206840.76,19.57
O2-Z-10-C25,136618.66,20.28
O2-Z-10-C26,40604.76,21.01
O2-Z-10-C27,10463.75,21.49
O2-Z-10-C28,N/A,N/A
O2-Z-10-C29,N/A,N/A
O2-Z-10-C30,N/A,N/A
O2-Z-10-C31,N/A,N/A
O2-Z-10-C32,N/A,N/A
O2-Z-10-C33,N/A,N/A
O2-Z-10-C34,N/A,N/A
O2-Z-10-C35,N/A,N/A
O2-Z-10-C36,N/A,N/A
O2-Z-10-C37,N/A,N/A
O2-Z-10-C38,N/A,N/A
O2-Z-10-C39,N/A,N/A
O2-Z-10-C40,N/A,N/A
O2-Z-12-C06,N/A,N/A
O2-Z-12-C07,N/A,N/A
O2-Z-12-C08,N/A,N/A
O2-Z-12-C09,N/A,N/A
O2-Z-12-C10,N/A,N/A
O2-Z-12-C11,N/A,N/A
O2-Z-12-C12,N/A,N/A
O2-Z-12-C13,N/A,N/A
O2-Z-12-C14,52112.54,11.19
O2-Z-12-C15,276749.02,12.08
O2-Z-12-C16,824012.59,12.8
O2-Z-12-C17,1516902.36,13.57
O2-Z-12-C18,1981811.02,14.28
O2-Z-12-C19,1661011.78,15.17
O2-Z-12-C20,1299239.26,15.82
O2-Z-12-C21,781564.04,16.58
O2-Z-12-C22,509215.66,17.37
O2-Z-12-C23,263912.49,17.97
O2-Z-12-C24,114284.61,18.91
O2-Z-12-C25,71542.77,19.53
O2-Z-12-C26,22343.58,19.98
O2-Z-12-C27,9466.61,21.33
O2-Z-12-C28,N/A,N/A
O2-Z-12-C29,N/A,N/A
O2-Z-12-C30,N/A,N/A
O2-Z-12-C31,N/A,N/A
O2-Z-12-C32,N/A,N/A
O2-Z-12-C33,N/A,N/A
O2-Z-12-C34,N/A,N/A
O2-Z-12-C35,N/A,N/A
O2-Z-12-C36,N/A,N/A
O2-Z-12-C37,N/A,N/A
O2-Z-12-C38,N/A,N/A
O2-Z-12-C39,N/A,N/A
O2-Z-12-C40,N/A,N/A
O2-Z-14-C07,N/A,N/A
O2-Z-14-C08,N/A,N/A
O2-Z-14-C09,N/A,N/A
O2-Z-14-C10,N/A,N/A
O2-Z-14-C11,N/A,N/A
O2-Z-14-C12,N/A,N/A
O2-Z-14-C13,N/A,N/A
O2-Z-14-C14,19051.97,10.78
O2-Z-14-C15,57035.77,11.46
O2-Z-14-C16,115271.87,12.27
O2-Z-14-C17,237749.18,13.07
O2-Z-14-C18,408584.26,13.89
O2-Z-14-C19,465716.51,14.57
