Component Name,Area,RT
IS_D27_C14:0,13400,16.06
O2-Z-00-C06,285958.38,8.01
O2-Z-00-C07,287289.29,9.29
O2-Z-00-C08,605753.9,10.52
O2-Z-00-C09,711695.2,11.68
O2-Z-00-C10,913240.45,12.68
O2-Z-00-C11,170096.89,13.65
O2-Z-00-C12,251106.01,14.52
O2-Z-00-C13,105662.28,15.37
O2-Z-00-C14,943149.78,16.21
O2-Z-00-C15,214951.63,17.02
O2-Z-00-C16,2297989.6,17.86
O2-Z-00-C17,154313.32,18.8
O2-Z-00-C18,1203616.16,19.71
O2-Z-00-C19,11006.62,20.76
O2-Z-00-C20,38056.27,21.82
O2-Z-00-C21,N/A,N/A
O2-Z-00-C22,28519.16,24.13
O2-Z-00-C23,8728.31,25.05
O2-Z-00-C24,103736.03,25.72
O2-Z-00-C25,31133.18,26.32
O2-Z-00-C26,53517.23,26.97
O2-Z-00-C27,N/A,N/A
O2-Z-00-C28,20182.51,27.87
O2-Z-00-C29,447.22,28.14
O2-Z-00-C30,13511.83,28.68
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,N/A,N/A
O2-Z-02-C08,N/A,N/A
O2-Z-02-C09,N/A,N/A
O2-Z-02-C10,N/A,N/A
O2-Z-02-C11,N/A,N/A
O2-Z-02-C12,N/A,N/A
O2-Z-02-C13,N/A,N/A
O2-Z-02-C14,N/A,N/A
O2-Z-02-C15,N/A,N/A
O2-Z-02-C16,34072.62,16.86
O2-Z-02-C17,15133.12,17.59
O2-Z-02-C18,126717.84,18.38
O2-Z-02-C19,N/A,N/A
O2-Z-02-C20,N/A,N/A
O2-Z-02-C21,N/A,N/A
O2-Z-02-C22,N/A,N/A
O2-Z-02-C23,N/A,N/A
O2-Z-02-C24,N/A,N/A
O2-Z-02-C25,N/A,N/A
O2-Z-02-C26,N/A,N/A
O2-Z-02-C27,N/A,N/A
O2-Z-02-C28,N/A,N/A
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,N/A,N/A
O2-Z-04-C10,N/A,N/A
O2-Z-04-C11,N/A,N/A
O2-Z-04-C12,N/A,N/A
O2-Z-04-C13,N/A,N/A
O2-Z-04-C14,N/A,N/A
O2-Z-04-C15,N/A,N/A
O2-Z-04-C16,N/A,N/A
O2-Z-04-C17,N/A,N/A
O2-Z-04-C18,34982.39,17.21
O2-Z-04-C19,N/A,N/A
O2-Z-04-C20,N/A,N/A
O2-Z-04-C21,N/A,N/A
O2-Z-04-C22,N/A,N/A
O2-Z-04-C23,N/A,N/A
O2-Z-04-C24,N/A,N/A
O2-Z-04-C25,N/A,N/A
O2-Z-04-C26,N/A,N/A
O2-Z-04-C27,N/A,N/A
O2-Z-04-C28,N/A,N/A
O2-Z-04-C29,N/A,N/A
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
