Component Name,Area,RT
IS_D27_C14:0,9175940.93,15.94
O2-Z-00-C06,392322.7,7.6
O2-Z-00-C07,547642.58,8.57
O2-Z-00-C08,1399607.68,10.1
O2-Z-00-C09,34379699.48,10.73
O2-Z-00-C10,5876967.52,12.39
O2-Z-00-C11,5620772.91,13.41
O2-Z-00-C12,6199044,14.34
O2-Z-00-C13,19025923.06,14.96
O2-Z-00-C14,5566448.65,16.06
O2-Z-00-C15,3996765.86,16.49
O2-Z-00-C16,6908462.41,17.71
O2-Z-00-C17,2791510.56,18.62
O2-Z-00-C18,5102616.48,19.56
O2-Z-00-C19,2581234.16,19.98
O2-Z-00-C20,3663388.86,20.67
O2-Z-00-C21,1771135.17,21.61
O2-Z-00-C22,1276708.77,22.89
O2-Z-00-C23,712692.39,23.83
O2-Z-00-C24,642205.5,25.75
O2-Z-00-C25,317165.28,25.46
O2-Z-00-C26,242018.74,26.99
O2-Z-00-C27,61055.9,26.64
O2-Z-00-C28,75646.36,27.97
O2-Z-00-C29,6585.98,27.23
O2-Z-00-C30,75662.82,28.74
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,13570.41,7.62
O2-Z-02-C08,263465.42,8.81
O2-Z-02-C09,2495764.45,9.81
O2-Z-02-C10,6709025.17,11.11
O2-Z-02-C11,10694586.15,12.12
O2-Z-02-C12,11118195.41,13.18
O2-Z-02-C13,11456566.7,14.18
O2-Z-02-C14,11226737.41,15.05
O2-Z-02-C15,9766412.83,15.82
O2-Z-02-C16,9344130.17,16.68
O2-Z-02-C17,8072657.88,17.56
O2-Z-02-C18,8352101.03,18.24
O2-Z-02-C19,6894664.16,19.16
O2-Z-02-C20,6435823.43,20.07
O2-Z-02-C21,5310187.55,21.02
O2-Z-02-C22,3630989.32,21.67
O2-Z-02-C23,2111188.12,23.02
O2-Z-02-C24,1238609.54,23.85
O2-Z-02-C25,515117.46,24.75
O2-Z-02-C26,239673.23,25.37
O2-Z-02-C27,88492.79,25.9
O2-Z-02-C28,31100.54,26.67
O2-Z-02-C29,6380.79,27.31
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,95095.24,9.1
O2-Z-04-C10,857326.03,10.31
O2-Z-04-C11,3505215.25,11.2
O2-Z-04-C12,8107857.95,12.33
O2-Z-04-C13,13176040.3,13.29
O2-Z-04-C14,17847327.56,14.28
O2-Z-04-C15,21300264.93,15.05
O2-Z-04-C16,22163145.6,15.82
O2-Z-04-C17,17939144.21,16.7
O2-Z-04-C18,15725052.84,17.61
O2-Z-04-C19,12312487.94,18.36
O2-Z-04-C20,10535852.88,19.33
O2-Z-04-C21,7477687.84,20.11
O2-Z-04-C22,4847015.72,21.02
O2-Z-04-C23,2579003.42,21.9
O2-Z-04-C24,1335569.32,22.86
O2-Z-04-C25,627155.55,23.74
O2-Z-04-C26,195324.94,24.83
O2-Z-04-C27,68393.44,25.43
O2-Z-04-C28,21493.82,26.07
O2-Z-04-C29,N/A,N/A
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
O2-Z-04-C34,N/A,N/A
O2-Z-04-C35,N/A,N/A
O2-Z-04-C36,N/A,N/A
O2-Z-04-C37,N/A,N/A
O2-Z-04-C38,N/A,N/A
O2-Z-04-C39,N/A,N/A
O2-Z-04-C40,N/A,N/A
O2-Z-06-C06,N/A,N/A
O2-Z-06-C07,N/A,N/A
O2-Z-06-C08,N/A,N/A
O2-Z-06-C09,N/A,N/A
O2-Z-06-C10,N/A,N/A
O2-Z-06-C11,69330.01,10.51
O2-Z-06-C12,571938.34,11.56
O2-Z-06-C13,2548867.01,12.51
O2-Z-06-C14,6186198.34,13.42
O2-Z-06-C15,11272332.16,14.39
O2-Z-06-C16,13910974.05,15.29
O2-Z-06-C17,12904427.36,15.82
O2-Z-06-C18,10038014.14,16.85
O2-Z-06-C19,7472054.85,17.65
O2-Z-06-C20,6069588.91,18.54
O2-Z-06-C21,3800995.3,19.43
O2-Z-06-C22,1629597.67,20.24
O2-Z-06-C23,1300995.91,21.11
O2-Z-06-C24,632710.76,21.9
O2-Z-06-C25,281979.89,22.94
O2-Z-06-C26,96130.29,23.86
O2-Z-06-C27,24041.05,24.33
O2-Z-06-C28,N/A,N/A
O2-Z-06-C29,N/A,N/A
O2-Z-06-C30,N/A,N/A
O2-Z-06-C31,N/A,N/A
O2-Z-06-C32,N/A,N/A
O2-Z-06-C33,N/A,N/A
O2-Z-06-C34,N/A,N/A
O2-Z-06-C35,N/A,N/A
O2-Z-06-C36,N/A,N/A
O2-Z-06-C37,N/A,N/A
O2-Z-06-C38,N/A,N/A
O2-Z-06-C39,N/A,N/A
O2-Z-06-C40,N/A,N/A
O2-Z-08-C06,N/A,N/A
O2-Z-08-C07,129777.99,6.23
O2-Z-08-C08,N/A,N/A
O2-Z-08-C09,23118.29,8
O2-Z-08-C10,89952.64,8.93
O2-Z-08-C11,143235.54,9.31
O2-Z-08-C12,322655.09,10.29
O2-Z-08-C13,560667.53,11.05
O2-Z-08-C14,929866.67,12.77
O2-Z-08-C15,2226395.16,13.6
