Component Name,Area,RT
IS_D27_C14:0,8386992.75,15.57
O2-Z-00-C06,N/A,N/A
O2-Z-00-C07,414528.41,8.83
O2-Z-00-C08,1141303.39,10.34
O2-Z-00-C09,32274180.25,11
O2-Z-00-C10,5215146.4,12.47
O2-Z-00-C11,5267412.34,13.35
O2-Z-00-C12,5922119.72,14.13
O2-Z-00-C13,18221927.47,14.92
O2-Z-00-C14,5208470.6,15.63
O2-Z-00-C15,3757073.69,16.13
O2-Z-00-C16,5787724.02,17.26
O2-Z-00-C17,2638242.85,18.14
O2-Z-00-C18,3799469.11,19.12
O2-Z-00-C19,2390618.15,19.65
O2-Z-00-C20,3345423.72,20.34
O2-Z-00-C21,1722166.66,21.4
O2-Z-00-C22,1201232.33,22.63
O2-Z-00-C23,685663.19,23.71
O2-Z-00-C24,601071.46,25.72
O2-Z-00-C25,297508.03,25.36
O2-Z-00-C26,193571.83,26.98
O2-Z-00-C27,56368.73,26.61
O2-Z-00-C28,41360.65,27.99
O2-Z-00-C29,N/A,N/A
O2-Z-00-C30,30553.68,28.31
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,9621.25,7.86
O2-Z-02-C08,236728.16,9.09
O2-Z-02-C09,2292719.05,10.08
O2-Z-02-C10,6255400.27,11.29
O2-Z-02-C11,9982052.48,12.21
O2-Z-02-C12,10312771.97,13.18
O2-Z-02-C13,10805845.13,13.97
O2-Z-02-C14,10551588.11,14.74
O2-Z-02-C15,8926364.02,15.54
O2-Z-02-C16,8507495.02,16.28
O2-Z-02-C17,7261250.77,17.11
O2-Z-02-C18,7557100.79,17.79
O2-Z-02-C19,6220013.89,18.92
O2-Z-02-C20,5980082.58,19.74
O2-Z-02-C21,4902777.98,20.87
O2-Z-02-C22,3518980.72,21.48
O2-Z-02-C23,2017011.5,22.84
O2-Z-02-C24,1193181.71,23.73
O2-Z-02-C25,477682.92,24.77
O2-Z-02-C26,215256.69,25.3
O2-Z-02-C27,77964.25,26.28
O2-Z-02-C28,24595.08,26.68
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,86668.02,9.36
O2-Z-04-C10,800404,10.54
O2-Z-04-C11,3245766.2,11.41
O2-Z-04-C12,7561706.45,12.44
O2-Z-04-C13,12362323.12,13.32
O2-Z-04-C14,16777680.29,14.09
O2-Z-04-C15,19837252.43,14.71
O2-Z-04-C16,20332086.48,15.51
O2-Z-04-C17,16415163.29,16.38
O2-Z-04-C18,14321101.07,17.26
O2-Z-04-C19,11355851.86,18
O2-Z-04-C20,9651693.59,18.95
O2-Z-04-C21,6854373.44,19.69
O2-Z-04-C22,4474954.88,20.8
O2-Z-04-C23,2474291.12,21.67
O2-Z-04-C24,1272494.34,22.58
O2-Z-04-C25,602421.48,23.53
O2-Z-04-C26,186855.2,24.51
O2-Z-04-C27,59234.63,25.33
O2-Z-04-C28,18035.38,26.06
O2-Z-04-C29,N/A,N/A
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
O2-Z-04-C34,N/A,N/A
O2-Z-04-C35,N/A,N/A
O2-Z-04-C36,N/A,N/A
O2-Z-04-C37,N/A,N/A
O2-Z-04-C38,N/A,N/A
O2-Z-04-C39,N/A,N/A
O2-Z-04-C40,N/A,N/A
O2-Z-06-C06,N/A,N/A
O2-Z-06-C07,N/A,N/A
